term,category,description,related_terms,relation_type
myocardial infarction,Cardiology,"Damage to heart muscle caused by reduced blood flow.","heart attack|cardiac infarction",Primary term
acute myocardial infarction,Cardiology,"A sudden blockage that damages heart muscle.","myocardial infarction|heart attack",Equivalent term
heart attack,Cardiology,"Common name for an acute myocardial infarction.","myocardial infarction|cardiac infarction",Equivalent term
cardiac infarction,Cardiology,"Death of heart muscle tissue from interrupted blood supply.","myocardial infarction|heart attack",Equivalent term
coronary artery disease,Cardiology,"Narrowing or blockage of arteries that supply the heart.","coronary heart disease|angina",Related term
coronary heart disease,Cardiology,"Disease affecting the heart's coronary blood vessels.","coronary artery disease|angina pectoris",Equivalent term
angina pectoris,Cardiology,"Chest discomfort caused by reduced blood flow to the heart.","chest pain|coronary artery disease",Related term
hypertension,Cardiology,"Persistently elevated pressure in the arteries.","high blood pressure",Primary term
high blood pressure,Cardiology,"Everyday term for hypertension.","hypertension",Equivalent term
hypotension,Cardiology,"Blood pressure that is lower than the usual healthy range.","low blood pressure|dizziness",Primary term
low blood pressure,Cardiology,"Everyday term for hypotension.","hypotension",Equivalent term
arrhythmia,Cardiology,"An irregular or abnormal heartbeat rhythm.","irregular heartbeat|cardiac dysrhythmia",Primary term
irregular heartbeat,Cardiology,"A heartbeat that is too fast, slow, or uneven.","arrhythmia",Related term
heart failure,Cardiology,"A condition in which the heart cannot pump enough blood.","congestive heart failure|cardiac insufficiency",Primary term
congestive heart failure,Cardiology,"Heart failure associated with fluid buildup.","heart failure|cardiac insufficiency",Equivalent term
cardiac arrest,Cardiology,"Sudden loss of effective heart activity.","heart stoppage|resuscitation",Primary term
cardiomyopathy,Cardiology,"Disease of the heart muscle that affects pumping.","heart muscle disease",Primary term
deep vein thrombosis,Cardiology,"A blood clot in a deep vein, often in a leg.","DVT|venous thrombosis",Primary term
venous thrombosis,Cardiology,"Formation of a clot in a vein.","deep vein thrombosis|DVT",Related term
peripheral artery disease,Cardiology,"Reduced blood flow in arteries outside the heart and brain.","PAD|poor circulation",Primary term
diabetes mellitus,Endocrinology,"A group of conditions involving high blood glucose.","diabetes|high blood sugar",Primary term
diabetes,Endocrinology,"Common short name for diabetes mellitus.","diabetes mellitus",Equivalent term
type 2 diabetes,Endocrinology,"Diabetes in which the body does not use insulin effectively.","adult-onset diabetes|diabetes mellitus",Related term
type 1 diabetes,Endocrinology,"Diabetes in which the body produces little or no insulin.","juvenile diabetes|diabetes mellitus",Related term
hyperglycemia,Endocrinology,"An abnormally high level of glucose in the blood.","high blood sugar",Primary term
high blood sugar,Endocrinology,"Everyday description of hyperglycemia.","hyperglycemia|diabetes",Equivalent term
hypoglycemia,Endocrinology,"An abnormally low level of glucose in the blood.","low blood sugar",Primary term
low blood sugar,Endocrinology,"Everyday description of hypoglycemia.","hypoglycemia",Equivalent term
insulin resistance,Endocrinology,"Reduced response of cells to insulin.","metabolic resistance|type 2 diabetes",Related term
metabolic syndrome,Endocrinology,"A cluster of metabolic risk factors occurring together.","insulin resistance|obesity",Related term
thyroid disease,Endocrinology,"A condition affecting thyroid hormone production or control.","thyroid disorder|goiter",Primary term
hypothyroidism,Endocrinology,"The thyroid does not produce enough hormone.","underactive thyroid|thyroid disease",Primary term
hyperthyroidism,Endocrinology,"The thyroid produces more hormone than the body needs.","overactive thyroid|thyroid disease",Primary term
goiter,Endocrinology,"Enlargement of the thyroid gland.","thyroid swelling|thyroid disease",Related term
osteoporosis,Orthopedics,"A condition that makes bones weak and more likely to fracture.","weak bones|bone loss",Primary term
weak bones,Orthopedics,"Everyday phrase often used for reduced bone strength.","osteoporosis|bone loss",Related term
osteoarthritis,Orthopedics,"Wear-related disease affecting joints and cartilage.","degenerative joint disease|joint wear",Primary term
degenerative joint disease,Orthopedics,"Common name for osteoarthritis.","osteoarthritis|joint wear",Equivalent term
rheumatoid arthritis,Orthopedics,"An immune-related disease causing joint inflammation.","inflammatory arthritis|joint inflammation",Primary term
joint inflammation,Orthopedics,"Swelling and irritation in a joint.","arthritis|rheumatoid arthritis",Related term
fracture,Orthopedics,"A break or crack in a bone.","broken bone|bone break",Primary term
broken bone,Orthopedics,"Everyday term for a fracture.","fracture|bone break",Equivalent term
sprain,Orthopedics,"Injury to a ligament caused by stretching or tearing.","ligament injury|twisted joint",Primary term
